Additional_outlet_count,Call,Cost_for_two(Rs.),Cuisines,Features,Home_Delivery,Operational_hours,Restaurant_Name,Veg only,Restaurant_Location,Full Address,Latitude,Longitude,Restaurant_Type,Occasion,View_Menu,Min_Order(Rs.),Delivery_Time(mins),Rating,Votes,Rating_Category,Operational_after_Midnight,Cuisine_count,Feature_Count,Res_Type_Count,Competitors_in_Location,Score
15,TRUE,500,"Bakery, Desserts",Dessert Picks,FALSE,8am – 12midnight (Mon-Sun),Theobroma,0,Colaba,Theobroma Colaba,18.9192199,72.8291778,Bakery,Quick Bites,TRUE,,,4.3,2751,Very Good,FALSE,2,1,1,82,48.33608274
15,TRUE,200,"Bakery, Fast Food, Desserts",Dessert Picks,FALSE,"10am – 10:30pm (Mon, Tue, Wed, Fri, Sat, Sun)...",Merwans Cake Stop,0,Near Andheri West Station,Merwans Cake Stop Near Andheri West Station,19.1191659,72.8454277,Bakery,Quick Bites,TRUE,,,4.4,1610,Very Good,FALSE,3,1,1,44,42.82043891
2,TRUE,250,Bakery,Food Hygiene Rated Restaurants In Mumbai,TRUE,10am – 11pm (Mon-Sun),Bake Ur Day,0,Airoli,Bake Ur Day Airoli,19.1607238,72.9933234,Bakery,Quick Bites,TRUE,0,60,4,308,Very Good,FALSE,1,1,1,68,29.43533571
1,TRUE,400,"Bakery, Desserts",nan,FALSE,9:30am – 11:30pm (Mon-Sun),Dark Temptations,0,Marine Lines,Dark Temptations Marine Lines,18.9430169,72.8279775,Bakery,Quick Bites,TRUE,,,4.1,426,Very Good,FALSE,2,1,1,30,31.5277088
16,TRUE,500,"Bakery, Desserts",nan,FALSE,10am – 12midnight (Mon-Sun),Hangout Cakes & More,0,Malad West,Hangout Cakes & More Malad West,19.1768422,72.8377666,Bakery,Quick Bites,TRUE,,,3.5,227,Good,FALSE,2,1,1,209,22.04930871
,TRUE,300,"Bakery, Desserts",nan,TRUE,10am – 9:30pm (Mon-Sun),Pikaboos,0,Ghodbunder Road,Pikaboos Ghodbunder Road,19.2570242,72.974283,Bakery,Quick Bites,TRUE,99,45,4.2,178,Very Good,FALSE,2,1,1,18,31.4083788
,TRUE,350,"Bakery, Desserts",nan,FALSE,"10:30am – 10pm (Mon, Tue, Thu, Fri, Sat, Sun)...",Bonnie's Bakery,0,Mulund West,Bonnie's Bakery Mulund West,19.1675505,72.9446523,Bakery,Quick Bites,TRUE,,,4.3,183,Very Good,FALSE,2,1,1,107,32.81790367
1,TRUE,250,"Bakery, Desserts",15% off on all orders,TRUE,9am – 12midnight (Mon-Sun),Cheese Cake Villa,0,Ghodbunder Road,Cheese Cake Villa Ghodbunder Road,19.2655086,72.9702761,Bakery,Quick Bites,TRUE,99,45,3.8,78,Good,FALSE,2,1,1,18,25.28684696
1,TRUE,400,"Bakery, Desserts",nan,FALSE,11am – 1am (Mon-Sun),Cakes & More,0,Jogeshwari,Cakes & More Jogeshwari,19.1431078,72.8431537,Bakery,Quick Bites,TRUE,,,3.7,47,Good,TRUE,2,TRUE,401,"Bakery, Desserts",nan
,TRUE,300,"Bakery, Desserts",Best of Mumbai,TRUE,"11am – 11pm (Mon-Sat),11am – 10pm (Sun)",Cocoamaya,0,Sakinaka,Cocoamaya Sakinaka,19.1060373,72.8847096,Bakery,Quick Bites,TRUE,99,45,4.7,189,Excellent,FALSE,,TRUE,301,"Bakery, Desserts",Best of Mumbai
1,TRUE,300,"Bakery, Desserts",nan,FALSE,9:30am – 10:30pm (Mon-Sun),Lucibello's Cake,0,Dahisar East,Lucibello's Cake Dahisar East,19.2517188,72.8606795,Bakery,Quick Bites,TRUE,,,3.7,26,Good,FALSE,2,TRUE,301,"Bakery, Desserts",nan
,TRUE,250,"Bakery, Desserts",20% off on all orders,TRUE,11am – 11pm (Mon-Sun),Cake Lab,0,Mira Road,Cake Lab Mira Road,19.280289,72.870844,Bakery,Quick Bites,TRUE,100,45,4.2,112,Very Good,FALSE,,TRUE,251,"Bakery, Desserts",20% off on all orders
,TRUE,500,"Bakery, Desserts",nan,FALSE,10am – 6pm (Mon-Sun),Ovenfresh Cake Shop,0,Dadar Shivaji Park,Ovenfresh Cake Shop Dadar Shivaji Park,19.0239763,72.8380783,Bakery,Quick Bites,TRUE,,,4,139,Very Good,FALSE,,TRUE,501,"Bakery, Desserts",nan
,TRUE,300,Bakery,11% off on all dine-in and home-delivery orders,TRUE,"12midnight – 1am, 10am – 12midnight (Mon-Sun)",Cakers & Cakers,0,Andheri West,Cakers & Cakers Andheri West,19.1420859,72.8290461,Bakery,Quick Bites,TRUE,99,60,4.2,233,Very Good,FALSE,,TRUE,301,Bakery,11% off on all dine-in and home-delivery orders
9,TRUE,300,"Bakery, Desserts",nan,FALSE,9am – 10pm (Mon-Sun),Cake Street,0,Airoli,Cake Street Airoli,19.160586,72.997011,Bakery,Quick Bites,TRUE,,,3.7,64,Good,FALSE,10,TRUE,301,"Bakery, Desserts",nan
26,TRUE,400,"Bakery, Fast Food, Desserts",nan,TRUE,7:30am – 10pm (Mon-Sun),Birdy's,0,Prabhadevi,Birdy's Prabhadevi,19.0133377,72.8282635,Bakery,Quick Bites,TRUE,99,60,3.4,105,Average,FALSE,27,TRUE,401,"Bakery, Fast Food, Desserts",nan
1,TRUE,350,Bakery,nan,FALSE,9am – 8pm (Mon-Sun),Chef Shan's Cakes & More,0,Thane West,Chef Shan's Cakes & More Thane West,19.2182972,72.9618168,Bakery,Quick Bites,TRUE,,,4,141,Very Good,FALSE,2,TRUE,351,Bakery,nan
,TRUE,250,"Bakery, Fast Food, Desserts",nan,TRUE,10am – 9pm (Mon-Sun),Jimmy Boy Cakes Cafe Bakery,0,Mahim,Jimmy Boy Cakes Cafe Bakery Mahim,19.037402,72.846426,Bakery,Quick Bites,TRUE,99,30,3.8,123,Good,FALSE,,TRUE,251,"Bakery, Fast Food, Desserts",nan
,TRUE,600,"Bakery, European",nan,TRUE,12noon – 11pm (Mon-Sun),Yauatcha Pâtisserie,0,Bandra Kurla Complex,Yauatcha Pâtisserie Bandra Kurla Complex,19.0609124,72.8629578,Bakery,Quick Bites,TRUE,99,30,3.8,53,Good,FALSE,,TRUE,601,"Bakery, European",nan
1,TRUE,300,"Bakery, Desserts, Fast Food",Food Hygiene Rated Restaurants In Mumbai,FALSE,8am – 12midnight (Mon-Sun),210 Degrees,0,Churchgate,210 Degrees Churchgate,18.9589816,72.8192086,Bakery,Quick Bites,TRUE,,,3.9,769,Good,FALSE,2,TRUE,301,"Bakery, Desserts, Fast Food",Food Hygiene Rated Restaurants In Mumbai
,TRUE,300,"Bakery, Desserts",nan,TRUE,11am – 11pm (Mon-Sun),Finom Cake Stop,0,Borivali West,Finom Cake Stop Borivali West,19.2297414,72.8537887,Bakery,Quick Bites,TRUE,99,45,3.7,45,Good,FALSE,,TRUE,301,"Bakery, Desserts",nan
,TRUE,500,"Bakery, Desserts",Best of Mumbai,FALSE,10am – 8pm (Mon-Sun),Vanilla Beans,0,Bandra West,Vanilla Beans Bandra West,19.0590218,72.8387034,Bakery,Quick Bites,TRUE,,,4.5,606,Excellent,FALSE,,TRUE,501,"Bakery, Desserts",Best of Mumbai
,TRUE,350,Bakery,nan,FALSE,10am – 8pm (Mon-Sun),Your Dreams Cake Shop,0,Kharghar,Your Dreams Cake Shop Kharghar,19.0630231,73.0700421,Bakery,Quick Bites,TRUE,,,3.6,21,Good,FALSE,,TRUE,351,Bakery,nan
,TRUE,800,"Bakery, Desserts",nan,FALSE,10am – 10:30pm (Mon-Sun),Sucré,0,Churchgate,Sucré Churchgate,18.9322453,72.8264378,Bakery,Quick Bites,TRUE,,,3.7,24,Good,FALSE,,TRUE,801,"Bakery, Desserts",nan
,TRUE,500,"Bakery, Desserts",nan,FALSE,"Closed (Mon),11:30am – 11:30pm (Tue-Sun)",Oh Dough,0,Fort,Oh Dough Fort,18.929615,72.831945,Bakery,Quick Bites,TRUE,,,4.4,357,Very Good,FALSE,,TRUE,501,"Bakery, Desserts",nan
