Additional_outlet_count,Call,Cost_for_two(Rs.),Cuisines,Features,Home_Delivery,Operational_hours,Restaurant_Location,Restaurant_Name,Latitude,Longitude,Restaurant_Type,View_Menu,Min_Order(Rs.),Delivery_Time(mins),Rating,Votes,Rating_Category,Operational_after_Midnight,Cuisine_count,Feature_Count,Res_Type_Count,Competitors_in_Location,Score
1,TRUE,1500,"Finger Food, Continental, European, Italian","Food Hygiene Rated Restaurants In Mumbai, Best of Mumbai",FALSE,12noon – 1am (Mon-Sun),Kamala Mills Compound,Lord of the Drinks,19.0038856,72.8274535,"Lounge,Casual Dining",TRUE,,,4.9,1326,Excellent,TRUE,4,2,2,19,48.00080572
1,TRUE,800,Pizza,"Value For Money, Best of Mumbai",FALSE,11am – 12:30AM (Mon-Sun),Malad West,Joey's Pizza,19.1783061,72.8345919,Quick Bites,TRUE,,,4.6,5974,Excellent,TRUE,1,2,1,209,71.95029537
,TRUE,2500,Seafood,"Super Seafood, Best of Mumbai",FALSE,"Closed (Mon),12noon – 3pm, 7pm – 12midnight...",Bandra West,Bastian,19.063643,72.834957,"Casual Dining,Bar",TRUE,,,4.5,1438,Excellent,FALSE,1,2,2,241,43.16036966
,TRUE,1800,"Finger Food, Continental","Where's The Party?, Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",FALSE,12noon – 1am (Mon-Sun),Lower Parel,Tamasha,19.0060968,72.8274267,"Lounge,Bar",TRUE,,,4.9,3275,Excellent,TRUE,2,3,2,125,59.77842683
2,TRUE,450,"North Indian, Street Food, Fast Food, Chinese",nan,TRUE,"12noon – 4pm, 7pm – 11:45pm (Mon-Sun)",Vashi,Bhagat Tarachand,19.0900336,73.0050754,Casual Dining,TRUE,0,45,4.1,1422,Very Good,FALSE,4,1,1,116,37.54644181
,TRUE,1600,"Modern Indian, European, Pizza, Grill","Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",FALSE,1pm – 1am (Mon-Sun),Bandra West,JLWA,19.0600698,72.8362696,"Casual Dining,Bar",TRUE,,,4.8,1989,Excellent,TRUE,4,2,2,241,50.62794114
,TRUE,800,"American, Asian, Street Food, Indian, Lucknowi, Mexican, Chinese, Italian",nan,TRUE,12noon – 1am (Mon-Sun),Flea Bazaar Café,Flea Bazaar Café,19.0058761,72.8264579,Café,TRUE,0,30,4.4,1424,Very Good,TRUE,8,1,1,5,41.69645865
3,TRUE,1200,Modern Indian,Best of Mumbai,TRUE,12noon – 1:30am (Mon-Sun),Bandra Kurla Complex,HITCHKI,19.0695881,72.8698699,"Casual Dining,Bar",TRUE,99,45,4.7,2640,Excellent,TRUE,1,1,2,38,53.18256171
,TRUE,2800,"Asian, Cantonese, Chinese, Tea, Yum Cha",Best of Mumbai,FALSE,12noon – 1am (Mon-Sun),Bandra Kurla Complex,Yauatcha,19.0609124,72.8629578,Fine Dining,TRUE,,,4.7,4752,Excellent,TRUE,5,1,1,38,65.94517627
,TRUE,700,"Cafe, Fast Food",nan,FALSE,10:30am – 10:30pm (Mon-Sun),Juhu,Prithvi Cafe,19.1059188,72.8257838,Café,TRUE,,,4.4,7065,Very Good,FALSE,2,1,1,100,75.78448363
